sch_name,sch_alias
江西经济管理干部学院,江西经济管理干部学院
北京航空航天大学北海学院,北航北海学院
北京航空航天大学北海学院,北京航空航天大学北海学院
西藏职业技术学院,西藏职业技术学院
山西戏剧职业学院,山西戏剧职业学院
北京科技大学延庆分校,北京科技大学延庆分校
襄阳职业技术学院,湖北襄樊职业技术学院
襄阳职业技术学院,襄阳职业技术学院
广州涉外经济职业技术学院,广州涉外经济职业技术学院
空军工程大学,空军工程大学
空军工程大学,西安空军工程大学
沧州师范学院,沧州师范学院
沧州师范学院,沧州师范专科学校
沧州师范学院,沧州师院
北京卫生职业学院,北京卫生职业学院
四川邮电职业技术学院,四川邮电职业技术学院
吉林省教育学院,吉林省教育学院
私立华联学院,私立华联学院
私立华联学院,私立華聯學院
湖州职业技术学院,湖州职业技术学院
湖南有色金属职业技术学院,湖南有色金属职业技术学院
南京中医药大学,南京中医学院
南京中医药大学,南京中医药大学
南京中医药大学,南中医
山西华澳商贸职业学院,山西华澳商贸职业学院
重庆能源职业学院,重庆能源职业学院
武汉外语外事职业学院,武汉外语外事职业学院
安徽机电职业技术学院,安徽机电职业技术学院
天津外国语大学滨海外事学院,天津外国语大学滨海外事学院
安徽财贸职业学院,安徽财贸职业学院
楚雄医药高等专科学校,楚雄卫生学校
楚雄医药高等专科学校,楚雄医药高等专科学校
湖南网络工程职业学院,湖南网络工程职业学院
新疆师范大学,新疆师大
新疆师范大学,新疆师范大学
云南现代职业技术学院,云南现代职业技术学院
合肥科技职业学院,合肥科技职业学院
上海师范大学天华学院,上海师范大学天华学院
上海师范大学天华学院,上海天华学院
长安大学兴华学院,长安大学兴华学院
南京城市职业学院,南京城市职业学院
北京现代职业技术学院,北京现代职业技术学院
红河卫生职业学院,红河卫生职业学院
山东财经大学,山东财经大学
山东财经大学,山东财政学院
山东财经大学,山东经济学院
广西政法管理干部学院,广西政法管理干部学院
大连东软信息学院,大连东软信息学院
大连东软信息学院,东北大学东软信息学院
大连东软信息学院,东软信息技术学院
河南林业职业学院,河南科技大学林业职业学院
河南林业职业学院,河南科技大学林业职业学院(资源)
河南林业职业学院,河南林业职业学院
大连理工大学盘锦校区,大连理工大学盘锦
大连理工大学盘锦校区,大连理工大学(盘锦)
大连理工大学盘锦校区,大连理工大学(盘锦）
大连理工大学盘锦校区,大连理工大学[盘锦]
大连理工大学盘锦校区,大连理工大学{盘锦}
大连理工大学盘锦校区,大连理工大学（盘锦)
大连理工大学盘锦校区,大连理工大学〔盘锦〕
大连理工大学盘锦校区,大连理工大学（盘锦）
大连理工大学盘锦校区,大连理工大学盘锦校区
大连理工大学盘锦校区,大连理工大学(盘锦校区)
大连理工大学盘锦校区,大连理工大学(盘锦校区)
大连理工大学盘锦校区,大连理工大学(盘锦校区）
大连理工大学盘锦校区,大连理工大学[盘锦校区]
大连理工大学盘锦校区,大连理工大学{盘锦校区}
大连理工大学盘锦校区,大连理工大学（盘锦校区)
大连理工大学盘锦校区,大连理工大学〔盘锦校区〕
大连理工大学盘锦校区,大连理工大学（盘锦校区）
三峡电力职业学院,三峡电力职业学院
东莞职业技术学院,东莞市职业技术学院
东莞职业技术学院,东莞职业技术学院
焦作工贸职业学院,焦作工贸职业学院
汕头大学,汕头大学
扬州大学,国家税务局扬州培训中心
扬州大学,江苏农学院
扬州大学,江苏商业专科学校
扬州大学,江苏水利工程专科学校
扬州大学,江苏水利专科学校
扬州大学,扬州大学
扬州大学,扬州工学院
扬州大学,扬州师范学院
扬州大学,扬州医学院
扬州大学,揚州大學
宜宾职业技术学院,宜宾职业技术学院
天津商务职业学院,天津商务职业学院
山西师范大学现代文理学院,山西师范大学现代文理学院
武汉交通职业学院,武汉交通职业学院
中国音乐学院,中国音乐学院
拉萨师范高等专科学校,拉萨师范高等专科学校
拉萨师范高等专科学校,拉萨师范学校
吉林农业大学,吉林农大
吉林农业大学,吉林农业大学
保定职业技术学院,保定职业技术学院
兰州财经大学陇桥学院,兰州财经大学陇桥学院
兰州财经大学陇桥学院,兰州商学院陇桥学院
四川工商职业技术学院,四川工商职业技术学院
第四军医大学,第四军医大学
第四军医大学,解放军第四军医大学
第四军医大学,中国人民解放军第四军医大学
绥化学院,绥化师范专科学校
绥化学院,绥化学院
郑州财税金融职业学院,郑州财税金融职业学院
广西财经学院,广西财经大学
广西财经学院,广西财经学院
广西财经学院,广西财经专科学校
广西财经学院,广西财政高等专科学校
广西财经学院,广西商业高等专科学校
广西财经学院,廣西財經學院
河南信息统计职业学院,河南信息统计职业学院
河南信息统计职业学院,郑州航院信息统计职业学院
四川艺术职业学院,四川艺术职业学院
长治职业技术学院,长治职业技术学院
黑龙江生物科技职业学院,黑龙江农牧水产职业学院
